Date,Close Price
30-Jan-23,4017.77
27-Jan-23,4070.56
26-Jan-23,4060.43
25-Jan-23,4016.22
24-Jan-23,4016.95
23-Jan-23,4019.81
20-Jan-23,3972.61
19-Jan-23,3898.85
18-Jan-23,3928.86
17-Jan-23,3990.97
13-Jan-23,3999.09
12-Jan-23,3983.17
11-Jan-23,3969.61
10-Jan-23,3919.25
9-Jan-23,3892.09
6-Jan-23,3895.08
5-Jan-23,3808.1
4-Jan-23,3852.97
3-Jan-23,3824.14
30-Dec-22,3839.5
29-Dec-22,3849.28
28-Dec-22,3783.22
27-Dec-22,3829.25
23-Dec-22,3844.82
22-Dec-22,3822.39
21-Dec-22,3878.44
20-Dec-22,3821.62
19-Dec-22,3817.66
16-Dec-22,3852.36
15-Dec-22,3895.75
14-Dec-22,3995.32
13-Dec-22,4019.65
12-Dec-22,3990.56
9-Dec-22,3934.38
8-Dec-22,3963.51
7-Dec-22,3933.92
6-Dec-22,3941.26
5-Dec-22,3998.84
2-Dec-22,4071.7
1-Dec-22,4076.57
30-Nov-22,4080.11
29-Nov-22,3957.63
28-Nov-22,3963.94
25-Nov-22,4026.12
23-Nov-22,4027.26
22-Nov-22,4003.58
21-Nov-22,3949.94
18-Nov-22,3965.34
17-Nov-22,3946.56
16-Nov-22,3958.79
15-Nov-22,3991.73
14-Nov-22,3957.25
11-Nov-22,3992.93
10-Nov-22,3956.37
9-Nov-22,3748.57
8-Nov-22,3828.11
7-Nov-22,3806.8
4-Nov-22,3770.55
3-Nov-22,3719.89
2-Nov-22,3759.69
1-Nov-22,3856.1
31-Oct-22,3871.98
28-Oct-22,3901.06
27-Oct-22,3807.3
26-Oct-22,3830.6
25-Oct-22,3859.11
24-Oct-22,3797.34
21-Oct-22,3752.75
20-Oct-22,3665.78
19-Oct-22,3695.16
18-Oct-22,3719.98
17-Oct-22,3677.95
14-Oct-22,3583.07
13-Oct-22,3669.91
12-Oct-22,3577.03
11-Oct-22,3588.84
10-Oct-22,3612.39
7-Oct-22,3639.66
6-Oct-22,3744.52
5-Oct-22,3783.28
4-Oct-22,3790.93
3-Oct-22,3678.43
30-Sep-22,3585.62
29-Sep-22,3640.47
28-Sep-22,3719.04
27-Sep-22,3647.29
26-Sep-22,3655.04
23-Sep-22,3693.23
22-Sep-22,3757.99
21-Sep-22,3789.93
20-Sep-22,3855.93
19-Sep-22,3899.89
16-Sep-22,3873.33
15-Sep-22,3901.35
14-Sep-22,3946.01
13-Sep-22,3932.69
12-Sep-22,4110.41
9-Sep-22,4067.36
8-Sep-22,4006.18
7-Sep-22,3979.87
6-Sep-22,3908.19
2-Sep-22,3924.26
1-Sep-22,3966.85
31-Aug-22,3955
30-Aug-22,3986.16
29-Aug-22,4030.61
26-Aug-22,4057.66
25-Aug-22,4199.12
24-Aug-22,4140.77
23-Aug-22,4128.73
22-Aug-22,4137.99
19-Aug-22,4228.48
18-Aug-22,4283.74
17-Aug-22,4274.04
16-Aug-22,4305.2
15-Aug-22,4297.14
12-Aug-22,4280.15
11-Aug-22,4207.27
10-Aug-22,4210.24
9-Aug-22,4122.47
8-Aug-22,4140.06
5-Aug-22,4145.19
4-Aug-22,4151.94
3-Aug-22,4155.17
2-Aug-22,4091.19
1-Aug-22,4118.63
29-Jul-22,4130.29
28-Jul-22,4072.43
27-Jul-22,4023.61
26-Jul-22,3921.05
25-Jul-22,3966.84
22-Jul-22,3961.63
21-Jul-22,3998.95
20-Jul-22,3959.9
19-Jul-22,3936.69
18-Jul-22,3830.85
15-Jul-22,3863.16
14-Jul-22,3790.38
13-Jul-22,3801.78
12-Jul-22,3818.8
11-Jul-22,3854.43
8-Jul-22,3899.38
7-Jul-22,3902.62
6-Jul-22,3845.08
5-Jul-22,3831.39
1-Jul-22,3825.33
30-Jun-22,3785.38
29-Jun-22,3818.83
28-Jun-22,3821.55
27-Jun-22,3900.11
24-Jun-22,3911.74
23-Jun-22,3795.73
22-Jun-22,3759.89
21-Jun-22,3764.79
17-Jun-22,3674.84
16-Jun-22,3666.77
15-Jun-22,3789.99
14-Jun-22,3735.48
13-Jun-22,3749.63
10-Jun-22,3900.86
9-Jun-22,4017.82
